date,start,end,summary,description,all_day
2025-09-01,06:00,14:00,Ranní,Provoz 1,0
2025-09-02,06:00,14:00,Ranní,Provoz 1,0
2025-09-03,14:00,22:00,Odpolední,Provoz 1,0
2025-09-04,14:00,22:00,Odpolední,Provoz 1,0
2025-09-05,22:00,06:00,Noční,Provoz 1,0
2025-09-06,22:00,06:00,Noční,Provoz 1,0
2025-09-07,,,Volno,,1
2025-09-08,,,Volno,,1
2025-09-09,06:00,14:00,Ranní,Provoz 1,0
2025-09-10,06:00,14:00,Ranní,Provoz 1,0
2025-09-11,14:00,22:00,Odpolední,Provoz 1,0
2025-09-12,14:00,22:00,Odpolední,Provoz 1,0
2025-09-13,22:00,06:00,Noční,Provoz 1,0
2025-09-14,22:00,06:00,Noční,Provoz 1,0
2025-09-15,,,Volno,,1
2025-09-16,,,Volno,,1
2025-09-17,06:00,14:00,Ranní,Provoz 1,0
2025-09-18,06:00,14:00,Ranní,Provoz 1,0
2025-09-19,14:00,22:00,Odpolední,Provoz 1,0
2025-09-20,14:00,22:00,Odpolední,Provoz 1,0
2025-09-21,22:00,06:00,Noční,Provoz 1,0
2025-09-22,22:00,06:00,Noční,Provoz 1,0
2025-09-23,,,Volno,,1
2025-09-24,,,Volno,,1
2025-09-25,06:00,14:00,Ranní,Provoz 1,0
2025-09-26,06:00,14:00,Ranní,Provoz 1,0
2025-09-27,14:00,22:00,Odpolední,Provoz 1,0
2025-09-28,14:00,22:00,Odpolední,Provoz 1,0
2025-09-29,22:00,06:00,Noční,Provoz 1,0
2025-09-30,22:00,06:00,Noční,Provoz 1,0
